"TCD","DLOC","TCLOC","scores_ANN"
0.3,3,3,5.1
0.3,4,4,2.4
0.1,5,11,6.7
0.3,9,11,1.4
0,2,2,4.5
0.1,5,6,2.1
0,0,0,7.8
0.2,6,6,2.5
0.2,8,8,3.1
0.2,15,49,1.5
0.1,0,2,1.7
0.3,4,4,2.3
0.1,3,3,3.4
0.3,0,1,2.7
0,0,4,5.1
0.4,9,11,0.5
0.1,3,4,3.8
0.4,9,12,0.5
0.1,2,2,3
0.1,7,8,6.3
0.4,29,29,2.5
0.1,4,4,6
0.1,3,5,3.8
0.3,3,90,1.3
0.2,1,1,0.2
0.1,3,3,1.7
0.1,2,2,1.7
0.2,34,103,1.9
0,5,18,4
0.3,3,3,2.6
0.5,27,32,0.4
0.3,66,133,3.5
0,9,11,5
0.4,85,154,4.3
0.3,7,7,1.2
0.2,0,2,0.7
0,6,9,5.2
0.3,25,25,1.7
0,0,60,4
0.6,49,49,4.9
0.1,4,12,3.2
0.2,3,6,1.8
0.2,6,10,1.4
0.3,56,66,2.9
0.3,4,4,2.2
0.1,0,2,5.6
0.1,2,2,2.1
0,1,1,2.3
0.2,14,21,2.6
0,6,6,5
0,0,0,6
0.3,90,130,4.7
0.3,11,12,5.4
0.1,9,9,4.5
0.1,1,3,2.3
0,1,2,3.4
0.2,3,3,3.1
0,0,3,2.6
0.3,3,8,2.3
0.3,25,59,3.8
0.2,6,6,1.3
0,2,9,5.4
0.2,62,76,4.2
0.2,3,4,2.3
0,6,7,3.1
0,0,3,2.2
0.1,1,1,0.6
0,0,26,3.5
0,6,7,4.3
0.1,26,58,1.7
0.3,6,8,0.9
0,0,1,4.1
0.1,4,4,1.4
0,2,2,5.4
0.4,26,26,2
0.1,4,4,2.7
0.1,3,14,5.8
0.4,27,49,2.9
0.1,3,3,4.8
0.5,32,32,1.7
0.2,12,12,4.1
0.1,0,30,3.5
0.1,0,13,3.2
0,5,5,3.4
0.3,5,7,2.9
0,3,3,5.4
0,0,1,2.6
0.1,3,3,4
0.1,4,4,1.5
0.1,12,14,4.7
0.1,3,3,3.9
0.1,3,3,3.8
0,0,2,3.3
0.1,3,3,1.8
0.2,4,36,3.3
0.5,6,39,3.6
0.2,5,5,3
0.1,4,13,6.2
0.4,27,27,3.4
0.1,5,5,2.6
0,0,1,3.7
0.2,4,4,3.4
0,13,21,3.6
0,1,1,3
0.1,10,19,4.6
0,0,1,2.1
0,0,1,1.7
0,0,10,3.5
0,0,1,6.5
0.4,51,51,8.3
0.3,58,65,4.8
0,0,5,3.8
0.4,38,38,2.4
0,3,4,4.3
0.3,26,30,3.1
0.2,24,66,1.6
0,0,8,3.1
0.3,25,32,1.9
0.4,6,6,2.4
0.3,5,5,4.8
0,1,1,4.4
0.2,0,1,1.4
0.2,3,3,0.8
0.3,11,49,1.4
0,0,2,6.3
0.4,0,7,4.7
0.1,0,2,2.8
0.1,2,5,6.7
0,0,1,2.7
0.1,8,8,3.9
0.4,9,9,0.8
0.7,22,22,4
0.3,3,12,2.8
0.1,4,4,2.5
0,0,5,1.6
0.3,6,7,2.3
0.6,68,68,5.7
0.2,5,5,4.8
0.1,7,11,2.6
0.2,4,12,2.2
0,0,5,2.3
0.3,13,13,4.8
0,3,3,5.1
0.1,0,1,3.9
0.1,6,6,2.8
0.6,16,16,3.3
0.1,10,23,2.9
0.3,31,37,2
0,4,5,3.7
0.4,14,90,2
0.2,6,6,2.4
0.2,28,32,5.3
0.5,5,5,3.9
0.1,5,5,4.8
0.1,5,5,2.4
0.3,4,57,4
0,3,3,5.3
0.4,13,13,2.8
0.1,0,2,2.7
0.1,0,7,5.3
0.1,6,7,6.5
0.2,34,44,5.1
0.1,0,5,4
0.1,9,24,5
0.1,7,25,1.2
0.2,28,40,2.5
0,0,22,1.3
0,6,25,5.5
0.2,3,3,4.5
0.1,0,1,3.4
0.4,108,121,4.9
0.2,15,22,1.9
0,0,22,4.2
0.3,9,9,4.8
0.6,85,85,4.5
0.3,8,11,3
0.1,0,1,3.6
0.1,2,3,2.3
0.1,42,42,4.7
0,1,1,2.4
0.4,0,7,0.7
0.5,61,77,6.8
0.1,0,1,2.5
0.1,5,8,3.2
0.3,3,3,1.4
0,0,4,4.5
0.1,12,66,4.9
0.3,1,7,2.3
0.2,53,55,5.5
0.4,9,9,1.4
0.2,2,2,2.6
0.1,26,85,5.1
0.2,10,11,1.4
0.5,82,82,8.3
0.1,6,6,1.6
0.1,3,3,4.7
0.2,45,186,2.1
0.1,1,1,0.2
0.1,5,5,1.8
0.4,9,9,3.2
0.2,30,66,1.6
0.4,102,109,3.7
0.1,3,3,4.1
0.4,31,59,4
0,0,3,1.2
0.4,17,17,2.9
0,0,3,4
0,3,4,5.1
0.1,2,6,3
0.2,5,6,1.5
0.4,6,6,3.2
0.2,7,10,5.1
0,0,2,2.1
0.5,7,7,3
0,0,3,1.6
0,0,2,4.4
0.3,13,23,3.6
0.7,75,82,3.6
0.1,0,5,2.7
0,0,2,2.4
0.1,0,1,1.6
0.4,11,11,0.4
0,0,16,1.2
0,0,16,4.1
0.1,5,8,4.9
0.5,25,27,3
0.2,11,16,1.9
0.1,0,3,2.1
0,1,1,4.5
0.3,20,69,1.7
0.2,10,12,5.3
0.4,37,43,0.4
0.4,21,21,4.1
0.1,9,9,4
0.2,5,7,4.3
0,3,3,6.3
0,0,7,3.2
0.1,5,5,2
0,3,7,6.2
0.4,7,7,3.3
0.1,2,4,3.4
0.2,5,5,1.7
0,3,3,6.2
0.1,9,40,1.6
0.2,37,91,2.7
0.4,36,43,3.1
0.4,6,6,2.1
0,5,5,2.1
0,2,2,3.9
0.1,3,3,2.5
